"Lote";"Caminho";"Arquivo";"ClassificacaoEsperada";"EstadoGitIgnore";"TamanhoBytes"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\personal_information\instagram_profile_information.json";"instagram_profile_information.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"1296"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\personal_information\note_interactions.json";"note_interactions.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"337"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\personal_information\professional_information.json";"professional_information.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"194"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\personal_information\profile_changes.json";"profile_changes.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"95429"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\01-Instagram\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\personal_information\instagram_profile_information.json";"instagram_profile_information.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"1296"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\personal_information\note_interactions.json";"note_interactions.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"337"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\personal_information\professional_information.json";"professional_information.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"194"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\personal_information\profile_changes.json";"profile_changes.json";"ELEGIVEL_PARA_SINCRONIZACAO";"NAO_IGNORADO";"95429"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\link_history\link_history.json";"link_history.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"10517"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\link_history\your_link_history_settings.json";"your_link_history_settings.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"311"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\recent_searches\profile_searches.json";"profile_searches.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"10878"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\recent_searches\word_or_phrase_searches.json";"word_or_phrase_searches.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"1689"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\camera_information.json";"camera_information.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"2843"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\devices.json";"devices.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"8978"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\two-factor_authentication.json";"two-factor_authentication.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"289"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\information_about_you\locations_of_interest.json";"locations_of_interest.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"1417"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\information_about_you\possible_phone_numbers.json";"possible_phone_numbers.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"700"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\security_and_login_information\login_and_profile_creation\last_known_location.json";"last_known_location.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"829"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\security_and_login_information\login_and_profile_creation\login_activity.json";"login_activity.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"73727"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\security_and_login_information\login_and_profile_creation\logout_activity.json";"logout_activity.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"31009"
"DADOS ACIRV - HD EXTERNO - captura anterior";"000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\security_and_login_information\login_and_profile_creation\signup_details.json";"signup_details.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"867"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\logged_information\link_history\link_history.json";"link_history.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"10517"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\logged_information\link_history\your_link_history_settings.json";"your_link_history_settings.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"311"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\logged_information\recent_searches\profile_searches.json";"profile_searches.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"10878"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\logged_information\recent_searches\word_or_phrase_searches.json";"word_or_phrase_searches.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"1689"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\device_information\camera_information.json";"camera_information.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"2843"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\device_information\devices.json";"devices.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"8978"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\device_information\two-factor_authentication.json";"two-factor_authentication.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"289"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\information_about_you\locations_of_interest.json";"locations_of_interest.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"1417"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\personal_information\information_about_you\possible_phone_numbers.json";"possible_phone_numbers.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"700"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\security_and_login_information\login_and_profile_creation\last_known_location.json";"last_known_location.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"829"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\security_and_login_information\login_and_profile_creation\login_activity.json";"login_activity.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"73727"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\security_and_login_information\login_and_profile_creation\logout_activity.json";"logout_activity.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"31009"
"HD-ACIRV - importacao selecionada 2026-09-22";"000-Arquivos-originais\HD-ACIRV\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\Dados completos 100425 até 100426\security_and_login_information\login_and_profile_creation\signup_details.json";"signup_details.json";"LOCAL_NAO_SINCRONIZAR";"IGNORADO";"867"
