"Lote";"TipoLote";"Secao";"CaminhoRelativo";"CaminhoAbsoluto";"Extensao";"TamanhoBytes";"TamanhoMB";"EstadoGitIgnore";"ModificadoEm"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"(raiz)";"Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";".txt";"446500";"0,426";"NAO_IGNORADO";"2026-05-21 17:45:54"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com +55 64 8438-8531.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com +55 64 8438-8531.txt";".txt";"2087";"0,002";"NAO_IGNORADO";"2025-11-11 10:30:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com +55 64 9221-7305.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com +55 64 9221-7305.txt";".txt";"436";"0";"NAO_IGNORADO";"2025-11-11 10:30:34"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com +55 64 9247-0988.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com +55 64 9247-0988.txt";".txt";"557802";"0,532";"NAO_IGNORADO";"2025-11-11 10:37:00"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com ACIRV - Comercial.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com ACIRV - Comercial.txt";".txt";"8750";"0,008";"NAO_IGNORADO";"2025-11-11 10:29:18"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com ACIRV + VCOM.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com ACIRV + VCOM.txt";".txt";"107652";"0,103";"NAO_IGNORADO";"2025-11-10 17:37:16"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Acirv Indústria PAM.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Acirv Indústria PAM.txt";".txt";"324";"0";"NAO_IGNORADO";"2025-11-11 10:40:36"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com ACIRV mulher .txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com ACIRV mulher .txt";".txt";"346808";"0,331";"NAO_IGNORADO";"2025-11-11 10:26:00"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com ACIRV.txt";".txt";"14328";"0,014";"NAO_IGNORADO";"2025-11-11 10:25:50"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Área64 Community.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Área64 Community.txt";".txt";"588672";"0,561";"NAO_IGNORADO";"2025-11-11 10:27:52"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Caju ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Caju ACIRV.txt";".txt";"6200";"0,006";"NAO_IGNORADO";"2025-11-11 10:38:10"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com CMO Club RVD.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com CMO Club RVD.txt";".txt";"468131";"0,446";"NAO_IGNORADO";"2025-11-11 10:13:30"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com COBERTURA SUDOEXPO.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com COBERTURA SUDOEXPO.txt";".txt";"5746";"0,005";"NAO_IGNORADO";"2025-11-11 10:35:42"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Colaboradores Facieg.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Colaboradores Facieg.txt";".txt";"1003874";"0,957";"NAO_IGNORADO";"2025-11-11 10:26:42"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Comitê de MKT  ACIRV 💡.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Comitê de MKT  ACIRV 💡.txt";".txt";"435";"0";"NAO_IGNORADO";"2025-11-11 10:42:42"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Comunicação Sudoeste📺💻📷.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Comunicação Sudoeste📺💻📷.txt";".txt";"598678";"0,571";"NAO_IGNORADO";"2025-11-11 10:27:30"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Coordenação EMPREGA ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Coordenação EMPREGA ACIRV.txt";".txt";"30764";"0,029";"NAO_IGNORADO";"2025-11-11 10:38:36"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com DIRETORIA ACIRV - TRIENIO 20252028.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com DIRETORIA ACIRV - TRIENIO 20252028.txt";".txt";"232897";"0,222";"NAO_IGNORADO";"2025-11-11 10:26:14"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Diretoria ACIRV 20202023.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Diretoria ACIRV 20202023.txt";".txt";"720872";"0,687";"NAO_IGNORADO";"2025-11-11 10:34:04"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Divulgação evento núcleo Saúde.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Divulgação evento núcleo Saúde.txt";".txt";"38858";"0,037";"NAO_IGNORADO";"2025-11-11 10:41:06"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Geral.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Geral.txt";".txt";"2159";"0,002";"NAO_IGNORADO";"2025-11-11 10:30:56"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Grupo de RH de Rio Verde .txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Grupo de RH de Rio Verde .txt";".txt";"598705";"0,571";"NAO_IGNORADO";"2025-11-11 10:26:58"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Imprensa Rio Verde.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Imprensa Rio Verde.txt";".txt";"8930";"0,009";"NAO_IGNORADO";"2025-11-11 10:28:32"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Informativo ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Informativo ACIRV.txt";".txt";"1540869";"1,469";"NAO_IGNORADO";"2025-11-11 10:13:08"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com INFORMATIVO SUDOEXPO 2026.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com INFORMATIVO SUDOEXPO 2026.txt";".txt";"31094";"0,03";"NAO_IGNORADO";"2025-11-11 10:39:32"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Janaine Gerência Acirv.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Janaine Gerência Acirv.txt";".txt";"297841";"0,284";"NAO_IGNORADO";"2025-11-11 10:13:48"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Janaine Marquez Pessoal.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Janaine Marquez Pessoal.txt";".txt";"37935";"0,036";"NAO_IGNORADO";"2025-11-11 10:27:16"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Lara Dutra • Lumina Marketing Médico.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Lara Dutra • Lumina Marketing Médico.txt";".txt";"4911";"0,005";"NAO_IGNORADO";"2025-11-11 10:37:42"
