folder_name,relative_path,depth,direct_file_count,total_file_count_recursive,direct_subfolder_count
Último ano,.,0,0,6060,9
ads_information,ads_information,1,0,7,2
ads_and_topics,ads_information\ads_and_topics,2,4,4,0
instagram_ads_and_businesses,ads_information\instagram_ads_and_businesses,2,3,3,0
apps_and_websites_off_of_instagram,apps_and_websites_off_of_instagram,1,0,3,1
apps_and_websites,apps_and_websites_off_of_instagram\apps_and_websites,2,3,3,0
connections,connections,1,0,7,2
contacts,connections\contacts,2,1,1,0
followers_and_following,connections\followers_and_following,2,6,6,0
logged_information,logged_information,1,0,9,3
link_history,logged_information\link_history,2,2,2,0
past_instagram_insights,logged_information\past_instagram_insights,2,5,5,0
recent_searches,logged_information\recent_searches,2,2,2,0
media,media,1,0,4965,7
archived_live_videos,media\archived_live_videos,2,0,1,1
202603,media\archived_live_videos\202603,3,1,1,0
archived_posts,media\archived_posts,2,0,117,10
202506,media\archived_posts\202506,3,2,2,0
202507,media\archived_posts\202507,3,13,13,0
202508,media\archived_posts\202508,3,8,8,0
202509,media\archived_posts\202509,3,20,20,0
202510,media\archived_posts\202510,3,2,2,0
202511,media\archived_posts\202511,3,52,52,0
202512,media\archived_posts\202512,3,14,14,0
202601,media\archived_posts\202601,3,2,2,0
202602,media\archived_posts\202602,3,1,1,0
202603,media\archived_posts\202603,3,3,3,0
other,media\other,2,199,378,9
202508,media\other\202508,3,14,14,0
202509,media\other\202509,3,20,20,0
202510,media\other\202510,3,42,42,0
202511,media\other\202511,3,16,16,0
202512,media\other\202512,3,26,26,0
202601,media\other\202601,3,5,5,0
202602,media\other\202602,3,22,22,0
202603,media\other\202603,3,29,29,0
202604,media\other\202604,3,5,5,0
posts,media\posts,2,0,2149,13
202504,media\posts\202504,3,50,50,0
202505,media\posts\202505,3,97,97,0
202506,media\posts\202506,3,72,72,0
202507,media\posts\202507,3,109,109,0
202508,media\posts\202508,3,228,228,0
202509,media\posts\202509,3,384,384,0
202510,media\posts\202510,3,332,332,0
202511,media\posts\202511,3,199,199,0
202512,media\posts\202512,3,171,171,0
202601,media\posts\202601,3,121,121,0
202602,media\posts\202602,3,150,150,0
202603,media\posts\202603,3,205,205,0
202604,media\posts\202604,3,31,31,0
recently_deleted,media\recently_deleted,2,0,50,2
202603,media\recently_deleted\202603,3,42,42,0
202604,media\recently_deleted\202604,3,8,8,0
reels,media\reels,2,0,145,12
202505,media\reels\202505,3,4,4,0
202506,media\reels\202506,3,9,9,0
202507,media\reels\202507,3,17,17,0
202508,media\reels\202508,3,16,16,0
202509,media\reels\202509,3,12,12,0
202510,media\reels\202510,3,6,6,0
202511,media\reels\202511,3,26,26,0
202512,media\reels\202512,3,27,27,0
202601,media\reels\202601,3,2,2,0
202602,media\reels\202602,3,11,11,0
202603,media\reels\202603,3,11,11,0
202604,media\reels\202604,3,4,4,0
stories,media\stories,2,0,2125,13
202504,media\stories\202504,3,66,66,0
202505,media\stories\202505,3,83,83,0
202506,media\stories\202506,3,191,191,0
202507,media\stories\202507,3,92,92,0
202508,media\stories\202508,3,182,182,0
202509,media\stories\202509,3,218,218,0
202510,media\stories\202510,3,296,296,0
202511,media\stories\202511,3,187,187,0
202512,media\stories\202512,3,162,162,0
202601,media\stories\202601,3,51,51,0
202602,media\stories\202602,3,206,206,0
202603,media\stories\202603,3,328,328,0
202604,media\stories\202604,3,63,63,0
personal_information,personal_information,1,0,13,3
device_information,personal_information\device_information,2,3,3,0
information_about_you,personal_information\information_about_you,2,3,3,0
personal_information,personal_information\personal_information,2,7,7,0
preferences,preferences,1,0,3,2
settings,preferences\settings,2,2,2,0
your_topics,preferences\your_topics,2,1,1,0
security_and_login_information,security_and_login_information,1,0,4,1
login_and_profile_creation,security_and_login_information\login_and_profile_creation,2,4,4,0
your_instagram_activity,your_instagram_activity,1,0,1049,12
avatars_store,your_instagram_activity\avatars_store,2,1,1,0
comments,your_instagram_activity\comments,2,2,2,0
edits,your_instagram_activity\edits,2,1,1,0
likes,your_instagram_activity\likes,2,2,2,0
media,your_instagram_activity\media,2,9,9,0
messages,your_instagram_activity\messages,2,1,1017,2
inbox,your_instagram_activity\messages\inbox,3,0,961,939
100migue_1710338197027543,your_instagram_activity\messages\inbox\100migue_1710338197027543,4,1,1,0
2obatalhaogamacerqueirapmgo_1127088765358330,your_instagram_activity\messages\inbox\2obatalhaogamacerqueirapmgo_1127088765358330,4,1,1,0
abilionatoneto_1812982936763404,your_instagram_activity\messages\inbox\abilionatoneto_1812982936763404,4,1,1,0
acijassociacaocomercialeindustrialdejatai_570994740961900,your_instagram_activity\messages\inbox\acijassociacaocomercialeindustrialdejatai_570994740961900,4,1,1,0
