periodo_fonte;data_publicacao;hora_publicacao;shortcode;media_id;tipo_midia;vinculo;parceiro_coautores;promovido;url;visualizacoes;visualizadores;contas_meta_alcancadas;interacoes_raw;interacoes_posts_raw;interacoes_reels_raw;curtidas_raw;comentarios_raw;compartilhamentos_raw;salvamentos_raw;contas_com_engajamento_raw;novos_seguidores_raw;novos_seguidores_normalizado;atividade_do_perfil_raw;visitas_ao_perfil_raw;toques_em_links_externos_raw;pct_seguidores_alcance_raw;pct_nao_seguidores_alcance_raw;taxa_interacao_pct_raw;metricas_ausentes;notas;source_path;source_blob_sha;status_validacao
2026-08;2026-08-30;18:43:38;DcrgQC6gknC;;foto;proprio;;nao;https://www.instagram.com/acirvoficial/p/DcrgQC6gknC/;439;245;;18;18;;14;3;1;0;14;0;0;5;5;0;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;18:19:43;DcmUAaAG3Pi;;foto;proprio;;nao;https://www.instagram.com/acirvoficial/p/DcmUAaAG3Pi/;2783;1483;;75;75;;71;0;1;2;73;0;0;31;26;5;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;18:05:58;DcmSbnuG9E-;;foto;colaboracao;acirvoficial, sudoexpo.oficial;nao;https://www.instagram.com/acirvoficial/p/DcmSbnuG9E-/;3188;1428;;76;76;;61;6;4;1;63;5;5;21;16;0;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;16:27:24;DcmHJv_G-0A;;foto;proprio;;nao;https://www.instagram.com/acirvoficial/p/DcmHJv_G-0A/;1365;516;;30;30;;27;1;2;0;29;0;0;3;3;0;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;13:53:21;Dcl1hMpDirN;;foto;proprio;;nao;https://www.instagram.com/acirvoficial/p/Dcl1hMpDirN/;2431;1071;;57;57;;43;1;13;0;48;1;1;10;8;1;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;11:05:03;DcliQzRDjNM;;foto;proprio;;nao;https://www.instagram.com/acirvoficial/p/DcliQzRDjNM/;1842;1005;;66;66;;65;0;0;1;67;0;0;0;0;0;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;08:51:58;DclTCCwm8ff;;foto;colaboracao;sudoexpo.oficial;nao;https://www.instagram.com/acirvoficial/p/DclTCCwm8ff/;4510;1990;;133;133;;74;33;21;1;88;5;5;24;17;2;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;08:47:59;DclSk4fG8C1;;foto;colaboracao;sudoexpo.oficial;nao;https://www.instagram.com/acirvoficial/p/DclSk4fG8C1/;30677;16010;;1722;1722;;582;663;429;18;693;145;145;276;112;19;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-28;08:34:46;DclREC4m2H4;;foto;colaboracao;sudoexpo.oficial;nao;https://www.instagram.com/acirvoficial/p/DclREC4m2H4/;3452;1297;;46;46;;32;1;11;0;38;0;0;10;9;1;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
2026-08;2026-08-27;17:59:04;Dcjs2R4G_fX;;foto;colaboracao;sudoexpo.oficial;nao;https://www.instagram.com/acirvoficial/p/Dcjs2R4G_fX/;3858;1744;;79;79;;55;13;10;0;61;3;3;17;14;0;;;;;;000-Arquivos-originais/Dados para mega-relatório pós Sudoexpo/Redes sociais/instagram_acirvoficial_insights_agosto_2026_MASTER(1).xlsx;ccc1d627be0468abb41c650b18974161b6f741b1;master_validado_completo_agosto
