source_row;data_hora_brt;id_midia;legenda;impressoes;alcance;curtidas;comentarios;compartilhamentos;salvamentos;visitas_perfil;seguidores_gerados;toques_link_externo;interacoes_calculadas;origem;source_blob_sha;status_validacao
1;2026-04-10T07:37:27-03:00;18037605881584954;"A falta de alinhamento e a comunicação falha custam caro para qualquer negócio. O mercado atual exige profissionais capazes de tomar decisões rápidas e precisas sob pressão contínua. 

A oficina On Board utiliza a dinâmica intensa do jogo de tabuleiro Pandemic para simular um ambiente corporativo altamente desafiador. Você vai testar suas habilidades e fundar bases sólidas de trabalho em equipe. Quem hesita durante o processo, perde o controle das operações e dos resultados. Quem colabora de forma inteligente, avança.

Esta imersão prática desenvolve a sua #Gestão de tempo e a #Liderança em cenários de alta complexidade. A parceria educacional com o @sebrae reforça o compromisso da #ACIRV em entregar ferramentas aos participantes, provando que o método de #ConectarParaCrescer blinda o seu #Negócios contra falhas de comunicação e liderança.

Desenvolva sua capacidade de resolução de problemas, no dia 14/04, às 19h, em nossa sede. O acesso para inscrição está disponível no link da bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";93;88;2;0;2;0;0;0;;4;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
2;2026-04-09T13:15:00-03:00;18115844122658725;"Na Sudoexpo, você se conecta diretamente com quem decide, compra e investe.
É relacionamento acelerado.
É mercado concentrado.
É resultado potencializado.";65;63;1;0;0;0;0;0;;1;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
3;2026-04-07T18:52:01-03:00;17880083508545725;"Vem aí o Fórum da Indústria da ACIRV. Dia 27 de maio, às 7h30, em Rio Verde.

O encontro propõe um olhar direto sobre os desafios do setor, com espaço para troca, análise e construção de caminhos possíveis para a indústria local.

Promovido pela ACIRV, o fórum reúne empresários e lideranças para fortalecer a indústria e impulsionar o desenvolvimento da nossa região.

Aqui, ninguém cresce isolado. A gente cresce conectado.";323;209;8;0;0;1;0;0;;9;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
4;2026-04-06T12:15:00-03:00;18065784761663252;"A Sudoexpo foi pensada para gerar:
🤝 Conexões
📈 Oportunidades comerciais
💼 Relacionamentos estratégicos
Quer transformar presença em resultado? Fale com nossa equipe comercial.";133;124;2;1;0;1;2;0;;4;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
5;2026-04-03T14:20:00-03:00;18090843191152588;"Realizada pela ACIRV, a Sudoexpo representa o compromisso da entidade com o crescimento sustentável de Rio Verde e região.
Uma feira construída com visão, planejamento e parceria.";387;368;28;2;0;0;3;0;;30;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
6;2026-04-02T08:56:21-03:00;18087822296261434;"O desenvolvimento econômico contínuo exige alinhamento direto entre a formação de novos talentos e as demandas do setor produtivo. Este é o diagnóstico que pautou a visita institucional da nossa diretoria ao Reitor da UniRV, Alberto Barella. 

Sentar à mesa com lideranças acadêmicas significa construir soluções claras para o futuro comercial.

Esta troca de visão e planejamento prova que #ConectarParaCrescer funciona como um método prático de expansão para toda a base produtiva de #RioVerde. O diálogo aproxima o rigor acadêmico das necessidades do #Empreendedorismo.

Sem esse alinhamento profundo entre educação e negócios, o comércio perde a chance de gerar #Inovação e competitividade em larga escala. 

Aqui, ninguém cresce isolado. A gente cresce conectado.";514;484;29;2;0;0;0;0;;31;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
7;2026-04-01T11:15:00-03:00;18403321978181340;"A comercialização dos estandes da Sudoexpo 2026 já começou — e a procura está crescendo.
Não deixe sua marca de fora da maior feira multissetorial do Sudoeste Goiano.";401;356;6;1;2;0;2;1;;9;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
8;2026-03-30T14:20:00-03:00;18048331829718928;"A Sudoexpo conecta setores que movem o Centro-Oeste.
Garanta sua presença no ambiente onde os negócios se encontram.";272;252;13;1;1;0;2;1;;15;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
9;2026-03-27T10:52:08-03:00;17861624382670397;"Rio Verde é um dos principais polos econômicos do Centro-Oeste.
A Sudoexpo é o reflexo dessa força produtiva, reunindo empresas, instituições e lideranças que movimentam a economia regional.";592;543;8;0;2;0;3;0;;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
10;2026-03-24T18:09:16-03:00;18020738408825944;"A construção de alianças estratégicas é o alicerce mais robusto para quem busca escala e sustentabilidade no mercado de Rio Verde, e em apenas 48 horas, o #CONECTA abrirá as portas para essa transformação. 

O empresário que é presente na #ACIRV compreende que o networking deixa de ser uma conversa informal para se tornar uma tática de expansão comercial, provando que o movimento #ConectarParaCrescer é a ferramenta necessária para se alcançar novas oportunidades de expansão. Este encontro é o ambiente ideal para repensar modelos de negócio e conduzir parcerias que geram resultados positivos e imediatos.

Aqui, ninguém cresce isolado. A gente cresce conectado.";507;439;9;0;1;0;4;0;;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
