"Acao";"Categoria";"Modo";"Origem";"CaminhoOrigem";"CaminhoDestino";"TamanhoBytes";"SHA256";"Observacao"
"COPY";"13-Documentos-Institucionais";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\LISTA DE DIRETORES - TRIENIO 20252028 - LISTA COMPLETA.pdf";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\13-Documentos-Institucionais\KEVYN-DADOS-ACIRV\LISTA DE DIRETORES - TRIENIO 20252028 - LISTA COMPLETA.pdf";"38197";"95cf9d5bf11119c69811854ec245bcd67121dd6e25d62f0878e9d768917874f4";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\apagada Conversa do WhatsApp com Vivianne Oliveira Vcom\Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\apagada Conversa do WhatsApp com Vivianne Oliveira Vcom\Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";"446500";"fd1bf2f1695d5921ca1e72ba68500dab7e299906016833daebff785a246332ea";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 8438-8531.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 8438-8531.txt";"2087";"f1ccebb14f127ffaddc4ffd217b4cc652473c8dd29d96ac0d5b889c9228f4e23";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 9221-7305.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 9221-7305.txt";"436";"ed56d96cafa092a9a51b417509e8bf59714ee068184e128814e0bdcabd587ae9";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 9247-0988.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com +55 64 9247-0988.txt";"557802";"e08585b98d7124d5ffec07de28d003088a7f4a4a12474c65097edee49a2a2004";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV + VCOM.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV + VCOM.txt";"107652";"d6737556858ec8a4f0b943cbc76945b61040c7ba778b7f8c26767ece933f4cf5";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV - Comercial.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV - Comercial.txt";"8750";"7bac24ec3a055855b8b81a7e9360d0bbef1c8194cc7679bf79f62f17c071b846";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com Acirv Indústria PAM.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com Acirv Indústria PAM.txt";"324";"d790407f8866b1631f67707f5786c8218cb2d19a51ef8ff8f66a3ab9c1015e10";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV mulher .txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV mulher .txt";"346808";"f18a55136e047276897203eceb7f3882306627793ba3c00516f54c5c741f3646";""
"COPY";"02-WhatsApp-e-Conversas";"AI_FRIENDLY_PENDENTE";"KEVYN-DADOS-ACIRV";"F:\KEVYN\DADOS ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\HD-ACIRV\90-AI-Friendly-Pendente\02-WhatsApp-e-Conversas\KEVYN-DADOS-ACIRV\Conversas zap\Conversa do WhatsApp com ACIRV.txt";"14328";"5c012f7d3e9f1c8d2cb7bec169dac1f5e2df5ed3516f3b5cebaa0f20a14cda17";""
